name,default,description
UNILOG_DISABLE,0,"1 disables all capture; logger becomes a no-op"
UNILOG_MODE,auto,"auto | full | sidecar | off — auto detects a foreign logger and switches to sidecar"
LOG_LEVEL,INFO,"threshold: canonical name, 1-24, OFF/NONE, or a runtime-native level name"
LOG_STDERR_MIN_SEVERITY,17,"severity_number at/above which console sink writes stderr instead of stdout; OFF = all stdout, 0 = all stderr"
LOG_SINK,console+syslog,"comma list: console, syslog, http, file"
LOG_SYSLOG_ADDRESS,,"unix:///dev/log (default when reachable) | udp://host:port | tcp://host:port"
LOG_SYSLOG_FACILITY,user,"syslog facility name (local0..7, user, daemon, ...)"
LOG_SYSLOG_MAX_BYTES,2048,"truncate syslog payload to this many bytes, keeping valid JSON"
OTEL_SERVICE_NAME,,"resource.service.name; takes precedence over OTEL_RESOURCE_ATTRIBUTES"
OTEL_RESOURCE_ATTRIBUTES,,"key1=value1,key2=value2 (percent-encoded); malformed value drops the whole var"
LOG_ENV,,"resource.deployment.environment.name (unilog-specific, no OTel equivalent)"
LOG_SERVICE_VERSION,,"resource.service.version override"
LOG_SERVICE_NAMESPACE,,"resource.service.namespace override"
LOG_INSTANCE_ID_STRATEGY,auto,"auto | uuid | host-pid | none"
LOG_RESOURCE_PROCESS,1,"include resource.process.pid"
LOG_RESOURCE_CONTAINER,off,"off | auto — read container.id from /proc/self/cgroup"
LOG_BODY_LIMIT,8192,"max bytes for body before truncation"
LOG_MAX_ATTRIBUTES,128,"max attribute count per record before dropped_attributes_count"
LOG_MAX_ATTRIBUTE_BYTES,4096,"max bytes per attribute value before truncation"
LOG_MAX_RECORD_BYTES,65536,"hard cap on serialized record size; lowered to PIPE_BUF automatically when needed"
LOG_ATOMIC_PIPE,auto,"auto | 1 | 0 — cap record size to PIPE_BUF(4096) when stdout is a shared pipe"
LOG_STACKTRACE_MIN_SEVERITY,17,"severity_number at/above which exception.stacktrace is attached"
LOG_EXCEPTION_MAX_CAUSES,3,"max unwrapped exception.causes[] entries"
LOG_REDACT,1,"1 enables key/value redaction (default on — see spec/redaction.default.json)"
LOG_REDACT_PROFILE,default,"default | pii — pii additionally masks email/phone/ip/name"
LOG_REDACT_MODE,mask,"mask | drop | hash — hash requires LOG_REDACT_HASH_KEY"
LOG_REDACT_HASH_KEY,,"HMAC key for LOG_REDACT_MODE=hash"
LOG_REDACT_STACKTRACE,1,"apply value-pattern redaction inside exception.stacktrace too"
LOG_REDACT_ALLOW,,"comma list of key segments exempted from default redaction"
LOG_ASCII_ONLY,0,"1 escapes non-ASCII as \\uXXXX instead of raw UTF-8"
LOG_DEBUG,0,"1 prints unilog's own diagnostics (resolver misses, re-arm events) to stderr"
