number,text,range,syslog_severity,python_min,python_max,go_slog_level,psr3_level,node_pino_min,node_pino_max
1,TRACE,TRACE,7,1,9,-8,,10,10
2,TRACE2,TRACE,7,,,-7,,11,12
3,TRACE3,TRACE,7,,,-6,,13,14
4,TRACE4,TRACE,7,,,-5,,15,19
5,DEBUG,DEBUG,7,10,19,-4,debug,20,20
6,DEBUG2,DEBUG,7,,,-3,,21,23
7,DEBUG3,DEBUG,7,,,-2,,24,26
8,DEBUG4,DEBUG,7,,,-1,,27,29
9,INFO,INFO,6,20,24,0,info,30,30
10,INFO2,INFO,5,25,29,1,notice,31,33
11,INFO3,INFO,5,,,2,,34,36
12,INFO4,INFO,5,,,3,,37,39
13,WARN,WARN,4,30,39,4,warning,40,40
14,WARN2,WARN,4,,,5,,41,43
15,WARN3,WARN,4,,,6,,44,46
16,WARN4,WARN,4,,,7,,47,49
17,ERROR,ERROR,3,40,49,8,error,50,50
18,ERROR2,ERROR,2,,,9,critical,51,53
19,ERROR3,ERROR,1,,,10,alert,54,56
20,ERROR4,ERROR,1,,,11,,57,59
21,FATAL,FATAL,0,50,999,12,emergency,60,999
22,FATAL2,FATAL,0,,,13,,,
23,FATAL3,FATAL,0,,,14,,,
24,FATAL4,FATAL,0,,,15,,,
